domain,project,BEASS2_ID
modeling,graphiti,387971
modeling,graphiti,421754
modeling,graphiti,337798
modeling,graphiti,397702
modeling,graphiti,368520
modeling,graphiti,391046
modeling,graphiti,376714
modeling,graphiti,398730
modeling,graphiti,379788
modeling,graphiti,469392
modeling,graphiti,406929
modeling,graphiti,481681
modeling,graphiti,415635
modeling,graphiti,326040
modeling,graphiti,334233
modeling,graphiti,364441
modeling,graphiti,434072
modeling,graphiti,393113
modeling,graphiti,477083
modeling,graphiti,405920
modeling,graphiti,326049
modeling,graphiti,358818
modeling,graphiti,417696
modeling,graphiti,364452
modeling,graphiti,358822
modeling,graphiti,363430
modeling,graphiti,389031
modeling,graphiti,443304
modeling,graphiti,374701
modeling,graphiti,341422
modeling,graphiti,343983
modeling,graphiti,463791
modeling,graphiti,374190
modeling,graphiti,379825
modeling,graphiti,340403
modeling,graphiti,427444
modeling,graphiti,421813
modeling,graphiti,430518
modeling,graphiti,453553
modeling,graphiti,470455
modeling,graphiti,336828
modeling,graphiti,378301
modeling,graphiti,379836
modeling,graphiti,367552
modeling,graphiti,401859
modeling,graphiti,352709
modeling,graphiti,361414
modeling,graphiti,405447
modeling,graphiti,336840
modeling,graphiti,361416
modeling,graphiti,324556
modeling,graphiti,361932
modeling,graphiti,412108
modeling,graphiti,323025
modeling,graphiti,323026
modeling,graphiti,346067
modeling,graphiti,335828
modeling,graphiti,378837
modeling,graphiti,407510
modeling,graphiti,371671
modeling,graphiti,374744
modeling,graphiti,351193
modeling,graphiti,324058
modeling,graphiti,323035
modeling,graphiti,325084
modeling,graphiti,323037
modeling,graphiti,365536
iot,californium,473300
iot,californium,463020
iot,californium,474398
iot,californium,474620
iot,californium,475575
technology,m2e,350178
technology,m2e,335331
technology,m2e,463075
technology,m2e,363237
technology,m2e,429287
technology,m2e,355816
technology,m2e,419047
technology,m2e,409067
technology,m2e,485869
technology,m2e,431343
technology,m2e,394480
technology,m2e,427762
technology,m2e,368117
technology,m2e,343030
technology,m2e,366839
technology,m2e,387064
technology,m2e,368118
technology,m2e,385273
technology,m2e,350203
technology,m2e,336636
technology,m2e,412157
technology,m2e,384510
technology,m2e,462588
technology,m2e,338944
technology,m2e,358656
technology,m2e,360962
technology,m2e,427266
technology,m2e,350202
technology,m2e,445687
technology,m2e,370439
technology,m2e,488455
technology,m2e,454662
technology,m2e,355338
technology,m2e,396554
technology,m2e,395768
technology,m2e,411150
technology,m2e,443919
technology,m2e,439309
technology,m2e,478735
technology,m2e,392211
