component,0,1,2,3,4,total
forms,19,1,2,1,1,24
forte,103,12,1,0,0,116
foundation,955,390,93,15,9,1462
framework,1861,239,49,11,5,2165
gallery,173,20,2,3,1,199
ganttchart,73,5,0,1,0,79
gdb,690,224,23,12,17,966
gef3d,10,0,0,0,0,10
gefbot,15,6,0,0,1,22
gefcloudio,7,2,0,0,0,9
gefcommon,13,1,1,0,0,15
gefdot,53,4,1,2,0,60
geffx,84,9,0,1,0,94
gefgeometry,30,0,0,0,0,30
gefgraph,24,0,0,1,0,25
geflayout,14,1,0,0,0,15
gefmvc,277,18,1,0,0,296
gefzest,101,16,0,0,0,117
gem,4,0,0,0,0,4
geminiintegration,0,1,0,0,0,1
general,4520,391,216,345,43,5515
generalui,1111,121,29,8,1,1270
generators,224,12,0,0,0,236
geomap,16,0,0,0,0,16
gig,4,1,0,0,0,5
git,724,91,29,18,5,867
gitflow,20,4,1,0,0,25
github,40,5,4,1,0,50
glazedlistsextension,26,6,0,1,0,33
graphiti,2,0,0,0,0,2
grid,259,47,2,1,0,309
gui,64,7,3,1,0,75
handbook,12,1,0,0,0,13
headless,30,2,0,0,0,32
help,62,3,5,1,0,71
hibernate,102,25,4,8,0,139
hmi,18,4,1,0,0,23
http2,88,9,0,1,0,98
ide,3677,549,104,40,10,4380
ideintegration,15,3,0,2,1,21
importing,4,2,1,0,0,7
incubator,1785,141,25,13,6,1970
incubators,151,16,1,0,0,168
indexer,601,76,11,5,0,693
informationmodeling,10,3,2,2,0,17
informationunits,14,4,0,0,0,18
infrastructure,539,159,53,8,2,761
inject,38,9,1,1,0,49
ins,115,8,0,0,0,123
install,284,10,3,1,0,298
installer,169,30,2,1,0,202
integrations,77,5,1,2,0,85
internal,61,22,0,0,0,83
interpreter,24,0,0,0,0,24
ios,8,1,1,0,0,10
iplogtool,61,1,0,1,0,63
irms,14,4,0,1,0,19
isp,18,4,0,0,0,22
java,383,44,23,1,1,452
javageneration,8,2,0,0,0,10
javareverser,2,1,0,0,0,3
javartsjgeneration,33,6,1,0,0,40
javascript,50,17,1,1,0,69
javascripttools,0,1,0,0,0,1
jbpm5targetruntime,126,11,2,0,0,139
jdt,162,11,1,2,0,176
jet,190,73,23,2,0,288
jeteditor,17,5,1,0,0,23
jetty,18,5,4,1,0,28
jface,269,33,19,10,2,333
jgit,914,159,28,16,3,1120
jira,768,118,46,5,1,938
jobmanagement,4,0,1,0,0,5
jpa,2526,1114,275,49,12,3976
js,12,0,1,0,0,13
jsp,4,2,0,0,0,6
jstools,639,67,9,4,1,720
keyboardlayouts,13,4,1,0,1,19
lang,50,4,0,0,0,54
languages,36,3,0,2,0,41
launch,62,8,2,0,0,72
launcher,147,52,8,4,1,212
launchers,13,2,0,0,0,15
ldp,127,2,2,0,0,131
legacy,24,12,2,1,0,39
legacydraw2d,810,86,39,9,2,946
legacygef(mvc),1914,234,91,22,2,2263
legacyzest,182,7,10,10,0,209
lib,8,0,0,0,0,8
library,41,4,2,0,0,47
license,7,0,1,0,0,8
livedoc,95,12,0,0,0,107
loadleveler,9,1,0,0,0,10
local,8,0,0,0,0,8
logging,19,3,0,1,1,24
lookandfeel,64,2,0,5,1,72
lttng,102,7,1,6,3,119
ltweaving,396,44,15,3,0,458
luadevelopmenttools,353,67,55,7,1,483
m2mqtt,2,0,0,0,0,2
m2xideintegration,13,1,2,1,2,19
main,619,352,91,6,3,1071
managed,245,74,12,3,0,334
managedmake,43,9,5,4,0,61
mapping,70,7,1,1,1,80
marketplace,2,0,0,0,0,2
marte,4,2,0,1,0,7
maven,154,12,2,1,0,169
maven2,3,1,0,0,0,4
maven3,12,4,0,0,0,16
memory,231,16,8,35,7,297
metalua,18,4,2,1,0,25
metamodel,19,4,1,1,0,25
microxml,27,5,0,0,0,32
mint,44,9,0,0,0,53
misc,92,8,0,1,1,102
miscellaneous,3,0,1,0,0,4
mobile,362,54,4,0,0,420
model,227,13,5,0,0,245
modeling,240,17,3,3,1,264
modelmutator,2,3,0,0,0,5
models,4,9,0,0,0,13
modelworkspace,50,14,1,0,0,65
modules,285,17,8,11,6,327
moka,42,4,1,0,1,48
monitor,247,53,26,5,0,331
moxy,749,138,12,1,0,900
mozilla,241,26,2,0,0,269
mpidevelopmenttools,2,0,0,0,0,2
mqtt,29,3,4,1,0,37
mtjprojects,76,13,2,0,0,91
mwe,155,22,8,3,1,189
mylyn,66,10,1,0,0,77
nav,77,25,4,3,0,109
navigation,129,15,2,0,0,146
navigator,64,9,4,0,0,77
navigator&amp;editorsockets,31,2,2,2,1,38
nebulaextension,5,0,0,0,0,5
net4j,216,35,14,11,9,285
newsreader,18,4,0,0,0,22
nexusplugins,35,2,1,3,2,43
node,121,6,4,2,0,133
objecttransaction,13,3,5,0,0,21
objy,25,7,1,0,0,33
openmpi,4,0,0,0,0,4
orion,17,1,1,0,0,19
orionhub,48,4,0,1,0,53
oscilloscope,10,3,0,0,0,13
oseeapplicationframework,150,15,12,5,3,185
oseetestenvironment(ote),12,1,1,0,0,14
osgi,77,26,0,1,0,104
osgifacet,11,2,0,0,0,13
otdt,60,24,1,0,0,85
otequinox,12,3,0,0,0,15
other,1032,193,38,22,5,1290
others,750,75,45,20,9,899
otj,53,13,0,0,0,66
otmvn,3,0,1,0,0,4
outlineviews,337,49,11,4,1,402
p2,4591,577,117,28,7,5320
p2management,85,18,3,4,0,110
p2repositoryanalyzers,4,0,0,0,0,4
package,659,51,20,16,7,753
packagecontent,131,11,5,5,4,156
packager,137,16,3,6,1,163
packages,30,0,1,0,0,31
paginationcontrol,2,0,0,0,0,2
paperclips,2,0,0,0,0,2
parser,1872,260,37,12,0,2181
patterns,75,1,0,0,0,76
pbs,30,4,0,0,0,34
pdebuild,2,0,0,0,0,2
pdesupport,347,9,15,6,0,377
pe,22,3,0,0,0,25
perf,2,0,0,0,0,2
pgroup,5,1,0,0,0,6
phpexplorer&amp;projectsmanagement,983,97,39,8,2,1129
