component,value,os,priority,hardware,version,component,severity,assignee,product,status,total
addons,min,0,0,0,0,0,0,0,0,0,7
addons,max,0,0,0,0,0,0,0,0,0,7
simulation,avg,0,0,0,0,0,0,0,0,0,20
simulation,min,0,0,0,0,0,0,0,0,0,20
simulation,max,0,0,0,0,0,0,0,0,0,20
gdb,avg,0,0,0,0,0,0,0,0,0,672
gdb,min,0,0,0,0,0,0,0,0,0,672
gdb,max,0,0,0,0,0,0,0,0,0,672
desktopintegration,avg,0,0,0,0,0,0,0,0,0,4
desktopintegration,min,0,0,0,0,0,0,0,0,0,4
desktopintegration,max,0,0,0,0,0,0,0,0,0,4
navigator&amp;editorsockets,avg,0,0,0,0,0,0,0,0,0,38
navigator&amp;editorsockets,min,0,0,0,0,0,0,0,0,0,38
navigator&amp;editorsockets,max,0,0,0,0,0,0,0,0,0,38
utilities,avg,0,0,0,0,0,0,0,0,0,90
utilities,min,0,0,0,0,0,0,0,0,0,90
utilities,max,0,0,0,0,0,0,0,0,0,90
tmf,avg,0,0,0,0,0,0,0,0,0,335
tmf,min,0,0,0,0,0,0,0,0,0,335
tmf,max,0,0,0,0,0,0,0,0,0,335
nebulaextension,avg,0,0,0,0,0,0,0,0,0,5
nebulaextension,min,0,0,0,0,0,0,0,0,0,5
nebulaextension,max,0,0,0,0,0,0,0,0,0,5
xpand,avg,0,0,0,0,0,0,0,0,0,619
xpand,min,0,0,0,0,0,0,0,0,0,619
xpand,max,0,0,0,0,0,0,0,0,0,619
navigation,avg,0,0,0,0,0,0,0,0,0,146
navigation,min,0,0,0,0,0,0,0,0,0,146
navigation,max,0,0,0,0,0,0,0,0,0,146
problemsview&amp;errormarkers,avg,0,0,0,0,0,0,0,0,0,29
problemsview&amp;errormarkers,min,0,0,0,0,0,0,0,0,0,29
problemsview&amp;errormarkers,max,0,0,0,0,0,0,0,0,0,29
