domain,project,0,1,2,3,4,total
iot,paho,127,10,2,4,0,143
modeling,etrice,473,65,3,0,0,541
birt,birt,20645,2094,265,50,2,23056
modeling,mdt.uml2,750,135,49,22,4,960
tools,objectteams,621,41,2,0,0,664
rt,virgo,1345,192,34,8,1,1580
iot,mihini,70,36,14,1,0,121
technology,uomo,30,10,5,3,0,48
eclipse,incubator,44,3,0,1,0,48
technology,cbi,446,39,102,18,8,613
ecd,cft,130,1,0,0,0,131
modeling,gmp,187,49,4,4,1,245
iot,om2m,33,11,0,0,0,44
tools,buckminster,1046,104,87,18,6,1261
modeling,umlgen,66,19,3,0,0,88
rt,gemini.blueprint,68,16,3,0,0,87
rt,gemini.management,42,7,0,0,0,49
rt,jetty,3444,271,34,16,5,3770
technology,mdmweb,23,0,0,5,0,28
modeling,emf.diffmerge,128,24,0,0,0,152
ecd,dirigible,195,90,28,4,3,320
rt,gemini.web,153,18,45,1,0,217
technology,skalli,161,9,5,1,1,177
