domain,project,field,1,2,3,4,total
modeling,graphiti,os,200,0,0,0,598
modeling,graphiti,priority,84,0,0,0,598
modeling,graphiti,hardware,223,0,0,0,598
modeling,graphiti,version,144,0,0,0,598
modeling,graphiti,component,11,0,0,0,598
modeling,graphiti,severity,24,0,0,0,598
modeling,graphiti,assignee,0,0,0,0,598
modeling,graphiti,product,10,0,0,0,598
modeling,graphiti,status,0,0,0,0,598
iot,californium,os,2,0,0,0,66
iot,californium,priority,0,0,0,0,66
iot,californium,hardware,2,0,0,0,66
iot,californium,version,0,0,0,0,66
iot,californium,component,0,0,0,0,66
iot,californium,severity,4,0,0,0,66
iot,californium,assignee,0,0,0,0,66
iot,californium,product,0,0,0,0,66
iot,californium,status,0,0,0,0,66
technology,m2e,os,53,1,0,0,1604
technology,m2e,priority,11,0,0,0,1604
technology,m2e,hardware,40,0,0,0,1604
technology,m2e,version,75,4,0,0,1604
technology,m2e,component,13,2,0,0,1604
technology,m2e,severity,72,2,0,0,1604
technology,m2e,assignee,0,0,0,0,1604
technology,m2e,product,9,0,0,0,1604
technology,m2e,status,0,0,0,0,1604
modeling,ocl,os,3,0,0,0,1739
modeling,ocl,priority,26,1,0,0,1739
modeling,ocl,hardware,4,0,0,0,1739
modeling,ocl,version,20,2,0,0,1739
modeling,ocl,component,13,2,0,0,1739
modeling,ocl,severity,58,5,0,0,1739
modeling,ocl,assignee,0,0,0,0,1739
modeling,ocl,product,13,1,0,0,1739
modeling,ocl,status,0,0,0,0,1739
modeling,mdt.rmf,os,12,0,0,0,347
modeling,mdt.rmf,priority,61,13,0,0,347
modeling,mdt.rmf,hardware,10,0,0,0,347
modeling,mdt.rmf,version,0,0,0,0,347
modeling,mdt.rmf,component,1,0,0,0,347
modeling,mdt.rmf,severity,43,1,0,0,347
modeling,mdt.rmf,assignee,0,0,0,0,347
modeling,mdt.rmf,product,0,0,0,0,347
modeling,mdt.rmf,status,0,0,0,0,347
technology,dltk,os,18,0,0,0,1121
technology,dltk,priority,42,1,0,0,1121
technology,dltk,hardware,6,0,0,0,1121
technology,dltk,version,238,3,1,0,1121
technology,dltk,component,12,1,0,0,1121
technology,dltk,severity,26,0,0,0,1121
technology,dltk,assignee,0,0,0,0,1121
technology,dltk,product,8,0,0,0,1121
technology,dltk,status,0,0,0,0,1121
technology,gef3d,os,1,0,0,0,120
technology,gef3d,priority,1,0,0,0,120
technology,gef3d,hardware,1,0,0,0,120
