modeling-graphiti
Total,598
field,avg,min,max
os,25,0,69
version,736,736,736
hardware,12,0,24
resolution,95,0,435
severity,141,0,254
component,322,0,736
product,429,220,736
assignee,147,0,736

rt-gemini.jpa
Total,126
field,avg,min,max
status,144,0,739
os,163,0,322
priority,279,279,279
hardware,84,0,167
version,126,0,274
resolution,136,0,739
severity,140,0,279
component,62,0,219
product,56,0,219
assignee,6,0,15

technology-sisu
Total,130
field,avg,min,max
status,191,0,956
priority,4,0,8
resolution,184,0,933
component,11,6,15
severity,8,8,8
assignee,178,0,705
version,232,0,647

tools-orbit
Total,1033
field,avg,min,max
status,327,0,2896
priority,237,0,1844
os,284,0,1952
hardware,284,0,1952
version,17,0,66
resolution,324,0,2896
severity,109,0,565
component,145,0,1484
assignee,524,0,3472
product,140,0,1484

technology-scout
Total,1912
field,avg,min,max
status,447,0,1778
os,147,0,704
priority,133,0,689
version,167,0,766
hardware,130,0,618
resolution,398,0,1778
severity,124,0,706
component,29,0,152
assignee,306,0,1469

science-richbeans
Total,0

technology-babel
Total,653
field,avg,min,max
status,625,0,2941
priority,235,0,2778
os,78,0,155
version,110,0,849
hardware,78,0,155
resolution,621,0,2941
component,375,0,2480
severity,242,0,2032
product,137,0,849
assignee,348,0,2778

technology-osbp
Total,0

technology-mpc
Total,596
field,avg,min,max
status,480,0,2181
os,76,0,613
priority,8,0,19
version,219,0,1357
hardware,81,0,613
resolution,395,0,2181
severity,64,0,303
component,213,0,1384
assignee,254,0,1441
product,213,0,1384

technology-efxclipse
Total,1092
field,avg,min,max
status,116,0,986
os,173,0,345
hardware,173,0,345
version,76,0,349
resolution,112,0,986
component,112,0,383
severity,14,0,63
product,165,0,383
assignee,123,0,462

tools-tracecompass
Total,500
field,avg,min,max
status,177,0,1397
os,2,0,4
version,315,0,1011
hardware,4,4,4
resolution,166,0,1397
component,336,0,1011
severity,169,0,452
product,351,0,1011
assignee,88,0,517

technology-epf
Total,3064
field,avg,min,max
status,470,0,2006
os,90,0,377
priority,396,0,1230
version,119,0,735
hardware,92,0,377
resolution,416,0,2006
severity,108,0,503
component,117,0,513
assignee,380,0,2638
product,59,0,197

iot-agail
Total,0

rt-apricot
Total,14
field,avg,min,max
status,74,0,257
resolution,74,0,257
component,0,0,0
severity,0,0,0
product,0,0,0

technology-osee
Total,355
field,avg,min,max
status,210,0,1203
os,535,0,1139
priority,11,0,27
hardware,535,0,1139
version,149,0,798
resolution,219,0,1203
component,104,0,467
severity,64,0,218
assignee,517,0,1138
product,26,4,48

modeling-emf.parsley
Total,142
field,avg,min,max
hardware,0,0,0
status,75,0,572
resolution,75,0,572
os,0,0,0
component,5,0,11
assignee,43,0,257
severity,21,0,41

tools-atf
Total,493
field,avg,min,max
status,252,0,1138
priority,202,0,1058
os,143,0,372
version,159,0,462
hardware,365,365,365
resolution,243,0,1138
component,113,0,462
severity,327,0,1116
assignee,304,0,1139
product,159,0,462

tools-aspectj
Total,2884
field,avg,min,max
status,543,0,2900
priority,680,0,2413
os,278,0,553
version,141,0,1013
hardware,4,0,12
resolution,547,0,2900
severity,163,0,1037
component,186,0,1013
assignee,233,0,1159
product,136,0,1013

modeling-modeling
Total,217
field,avg,min,max
status,189,0,1136
priority,407,8,1136
version,106,0,448
hardware,34,34,34
resolution,135,0,1136
severity,97,0,406
component,125,0,458
assignee,80,0,458
product,131,0,458

modeling-emft.refactor
Total,20
field,avg,min,max
version,1,1,1
status,398,0,1212
resolution,530,1,1212
component,1,1,1
os,0,0,0
assignee,1,1,1
product,1,1,1

technology-dash
Total,199
field,avg,min,max
status,537,0,3466
os,267,0,464
priority,407,0,1252
hardware,4,0,8
version,6,0,12
resolution,588,0,3466
component,283,0,2435
severity,68,0,196
assignee,268,0,2435
product,335,0,2435

technology-swtbot
Total,524
field,avg,min,max
status,346,0,2312
os,196,0,1257
priority,18,0,35
hardware,230,0,1434
version,176,0,1257
resolution,350,0,2312
component,409,0,1483
severity,356,0,1553
assignee,380,0,1800
product,2,0,4

webtools-wtpwebsite
Total,0

foundation-workinggroups
Total,0

tools-tools
Total,9
field,avg,min,max
product,0,0,0
status,737,0,1740
resolution,746,0,1740
component,0,0,0
assignee,1036,0,1740
version,0,0,0

technology-app4mc
Total,47
field,avg,min,max
status,43,0,267
resolution,29,0,98
severity,0,0,0
assignee,22,0,44

modeling-m2t
Total,1059
field,avg,min,max
status,624,0,1967
priority,227,0,1257
os,513,0,1291
version,287,0,1430
hardware,126,0,404
resolution,286,0,1903
component,134,0,869
severity,134,0,707
assignee,293,0,1458
product,147,0,869

technology-tycho
Total,1060
field,avg,min,max
status,333,0,1858
os,136,0,1203
priority,97,0,623
version,77,0,719
hardware,152,0,1253
resolution,286,0,1858
severity,126,0,1180
component,98,0,354
assignee,282,0,1858
product,27,0,168

iot-scada
Total,101
field,avg,min,max
status,222,0,653
os,9,0,17
priority,231,0,454
version,261,0,653
hardware,0,0,0
resolution,218,0,653
severity,127,0,454
component,6,0,11
assignee,285,0,497

modeling-emft.js4emf
Total,0

modeling-mdht
Total,29
field,avg,min,max
status,6,0,15
resolution,5,0,12
component,0,0,0
os,0,0,0
assignee,3,0,5
hardware,0,0,0

soa-score
Total,1

technology-jubula
Total,2030
field,avg,min,max
status,459,0,2171
priority,185,0,1601
os,133,0,780
version,133,0,923
hardware,166,0,1302
resolution,428,0,2080
severity,111,0,592
component,212,0,1302
assignee,278,0,1464
product,0,0,0

technology-usssdk
Total,7
field,avg,min,max
product,125,0,317
status,222,63,381
resolution,222,63,381
component,108,0,317
severity,1,1,1
assignee,149,0,381
version,112,0,317

modeling-emf.egf
Total,191
field,avg,min,max
status,139,0,1063
priority,0,0,0
os,0,0,0
version,154,0,276
hardware,0,0,0
resolution,138,0,860
component,0,0,0
severity,0,0,0
assignee,89,0,258
product,0,0,0

mylyn-mylynreviewsr4e
Total,0

rt-ercp
Total,595
field,avg,min,max
status,258,0,2961
os,343,0,1079
priority,488,0,1392
version,88,0,280
hardware,92,0,183
resolution,280,0,2961
severity,33,0,347
component,55,0,292
assignee,226,0,2402
product,15,0,39

webtools-webtools
Total,0

technology-microprofile
Total,3

iot-milo
Total,0

modeling-ecoretools
Total,293
field,avg,min,max
status,602,0,2392
priority,113,0,728
version,88,0,1175
resolution,714,0,2392
severity,142,0,1472
component,32,0,228
assignee,179,0,1406
product,32,0,228

webtools-jsdt
Total,2439
field,avg,min,max
status,481,0,3101
priority,139,0,691
os,193,0,1986
version,446,0,1620
hardware,190,0,1986
resolution,472,0,3101
severity,251,0,2752
component,442,0,1620
assignee,455,0,2753
product,454,0,1620

technology-epp
Total,1558
field,avg,min,max
status,460,0,2517
os,253,0,1526
priority,82,0,901
hardware,179,0,1485
version,186,0,2380
resolution,462,0,2517
component,215,0,2380
severity,169,0,1431
product,172,0,2231
assignee,222,0,2272

webtools-wtpjavaeetools
Total,0

modeling-ecp
Total,1615
field,avg,min,max
status,204,0,1011
priority,310,0,1682
os,24,0,72
version,37,0,176
hardware,1,0,1
resolution,196,0,1011
severity,94,0,389
component,130,0,737
assignee,128,0,737
product,20,0,43

iot-4diac
Total,302
field,avg,min,max
status,87,0,419
os,0,0,0
version,151,0,419
hardware,0,0,0
resolution,86,0,419
component,29,1,64
severity,1,0,2
assignee,6,0,19

mylyn-mylynreviews
Total,0

modeling-gmfruntime
Total,0

technology-recommenders
Total,1206
field,avg,min,max
status,211,0,1063
os,169,0,776
priority,214,0,617
version,100,0,776
hardware,183,0,776
resolution,203,0,1063
severity,181,0,1101
component,229,0,776
assignee,142,0,862
product,66,0,278

eclipse-e4
Total,3478
field,avg,min,max
status,398,0,3038
os,84,0,565
priority,63,0,161
version,156,0,3038
hardware,75,0,565
resolution,402,0,3038
component,193,0,3038
severity,103,0,1427
assignee,208,0,3038
product,251,0,3038

technology-remus
Total,61
field,avg,min,max
status,133,0,828
resolution,140,0,828
severity,0,0,0
assignee,7,7,7
version,0,0,0

modeling-epsilon
Total,535
field,avg,min,max
status,412,0,2047
os,121,0,465
priority,16,1,30
version,263,0,636
hardware,233,0,465
resolution,354,0,1440
component,643,0,1531
severity,366,0,1356
product,643,0,1531
assignee,207,0,1090

eclipse-platform
Total,108813
field,avg,min,max
status,1780,0,5510
os,912,0,5510
priority,800,0,4273
version,651,0,4184
hardware,944,0,5395
resolution,1809,0,5510
component,751,0,3965
severity,776,0,4453
assignee,1462,0,5510
product,613,0,3965

technology-reddeer
Total,0

tools-ptp
Total,2732
field,avg,min,max
status,607,0,3915
priority,284,0,1486
os,204,0,1735
version,314,0,1735
hardware,175,0,1735
resolution,620,0,3915
severity,252,0,1735
component,438,0,2325
assignee,308,0,1874
product,536,0,1735

iot-paho.incubator
Total,0

science-triquetrum
Total,1
field,avg,min,max
status,0,0,0
resolution,0,0,0
assignee,0,0,0

modeling-emfservices
Total,0

birt-birt
Total,22409
field,avg,min,max
status,682,0,3088
priority,443,0,1757
os,211,0,1625
version,177,0,1625
hardware,180,0,851
resolution,631,0,3088
severity,232,0,1069
component,291,0,1484
assignee,497,0,2332
product,95,0,1384

modeling-upr
Total,3
field,avg,min,max
status,99,99,99
resolution,99,99,99
assignee,39,39,39

modeling-mdt.uml2
Total,960
field,avg,min,max
status,611,0,2799
priority,668,0,2752
os,239,0,1126
version,87,0,505
hardware,19,0,56
resolution,430,0,2799
severity,489,0,1954
component,110,0,717
assignee,549,0,2387
product,120,0,717

tools-objectteams
Total,664
field,avg,min,max
status,294,0,1738
priority,151,0,440
os,97,0,210
version,102,0,1026
hardware,97,0,210
resolution,242,0,1470
severity,82,0,447
component,184,0,1046
assignee,241,0,1738
product,129,0,1026

technology-simopenpass
Total,0

rt-virgo
Total,1580
field,avg,min,max
status,496,0,2253
os,212,0,630
priority,36,0,116
version,163,0,1977
hardware,122,0,282
resolution,396,0,2253
component,238,0,1688
severity,107,0,964
assignee,329,0,2235
product,13,0,41

technology-uomo
Total,48
field,avg,min,max
status,212,0,813
priority,363,0,803
os,79,0,300
version,88,0,175
hardware,44,0,87
resolution,218,0,813
severity,340,0,803
component,587,315,858
assignee,153,0,358

eclipse-incubator
Total,48
field,avg,min,max
product,1,0,1
status,147,0,1357
resolution,147,0,1357
component,1,0,1
severity,0,0,0
assignee,16,0,43
version,1,0,1

technology-sensinact
Total,0

modeling-umlgen
Total,88
field,avg,min,max
status,110,0,377
os,0,0,0
hardware,0,0,0
version,2,0,4
resolution,112,0,377
severity,100,0,202
component,43,0,87
assignee,33,0,99

modeling-emf.diffmerge
Total,152
field,avg,min,max
status,214,0,1168
resolution,118,0,1168
severity,15,0,30
assignee,28,0,92

