modeling-graphiti
Total,598
field,avg,min,max
field,avg,min,max
status,110,0,512
resolution,114,0,512
severity,71,0,213
component,6,0,10
assignee,17,0,58

modeling-eatop
Total,34
field,avg,min,max
status,156,0,444
resolution,164,0,444
os,0,0,0
component,124,124,124
assignee,104,0,304
hardware,0,0,0

webtools-wtpwebservices
Total,0

rt-smila
Total,216
field,avg,min,max
status,791,0,2204
priority,198,0,406
os,187,0,340
hardware,189,0,340
version,118,0,340
resolution,411,0,2076
component,431,0,1168
severity,157,0,465
assignee,454,0,1828

modeling-emft.doc2model
Total,1
field,avg,min,max
status,41,41,41
resolution,41,41,41

modeling-efm
Total,23
field,avg,min,max
status,41,0,85
resolution,41,0,85
component,21,21,21
severity,56,56,56
assignee,0,0,0

webtools-javaeeconfig
Total,0

webtools-wtpservertools
Total,0

technology-subversive
Total,2591
field,avg,min,max
status,433,0,2532
priority,207,0,611
os,283,0,1287
version,165,0,2532
hardware,104,0,308
resolution,431,0,2532
component,386,0,2532
severity,96,0,689
assignee,186,0,2121
product,155,0,2121

rt-gemini
Total,5
field,avg,min,max
os,0,0,0

webtools-wtpsourceediting
Total,0

technology-rcptt
Total,254
field,avg,min,max
status,87,0,512
os,14,0,29
priority,22,0,73
version,100,0,209
resolution,83,0,512
severity,71,0,421
component,62,0,139
product,124,108,139
assignee,58,0,347

modeling-mdt
Total,114
field,avg,min,max
status,1611,0,4225
priority,18,0,41
version,50,0,115
resolution,82,0,269
component,15,0,79
severity,94,0,196
assignee,95,0,314
product,20,0,79

soa-soaplatform
Total,0

rt-ebr
Total,6
field,avg,min,max
status,44,0,119
resolution,44,0,119
assignee,60,0,119

technology-vtp
Total,259
field,avg,min,max
status,278,0,1347
os,134,0,426
priority,0,0,0
version,53,0,106
hardware,134,0,426
resolution,142,0,1302
severity,79,0,203
component,3,0,5
assignee,237,0,1183

rt-gyrex
Total,157
field,avg,min,max
status,191,0,1590
os,43,0,129
priority,74,0,148
version,150,0,567
hardware,43,0,129
resolution,191,0,1590
component,26,0,77
severity,140,0,1375
assignee,136,0,829

modeling-amp
Total,171
field,avg,min,max
status,87,0,436
os,328,0,1302
priority,982,0,1869
version,104,0,526
hardware,4,0,10
resolution,84,0,333
severity,814,0,1533
component,0,0,0
assignee,117,0,436

modeling-papyrusrt
Total,0

webtools-wtpcommontools
Total,0

modeling-eef
Total,330
field,avg,min,max
status,795,0,2538
os,10,0,21
priority,0,0,0
version,1682,0,2381
hardware,10,0,21
resolution,810,0,2538
component,1681,7,2551
severity,158,0,627
assignee,795,0,2335
product,1692,7,2551

modeling-capra
Total,46
field,avg,min,max
status,42,0,111
os,0,0,0
resolution,43,0,111
component,21,0,35
severity,0,0,0
assignee,23,0,96
hardware,0,0,0

tools-titan
Total,183
field,avg,min,max
status,77,0,261
priority,0,0,0
version,1,0,1
resolution,67,0,261
severity,0,0,0
component,11,0,31
assignee,80,0,255
product,0,0,0

technology-sapphire
Total,1189
field,avg,min,max
status,218,0,1503
os,88,0,827
priority,0,0,0
version,49,0,682
hardware,104,0,827
resolution,202,0,1176
component,258,0,1503
severity,133,0,812
assignee,184,0,1168
product,33,33,33

tools-gef
Total,2950
field,avg,min,max
status,961,0,4111
priority,149,0,1045
os,1060,0,2516
version,239,0,1955
hardware,1196,0,2516
resolution,960,0,4111
severity,268,0,1306
component,2158,0,4669
assignee,787,0,4111
product,130,0,1071

tools-oomph
Total,1438
field,avg,min,max
status,174,0,828
os,14,0,32
priority,61,0,228
version,281,0,876
hardware,17,0,32
resolution,168,0,828
severity,73,0,498
component,72,0,532
assignee,136,0,751
product,67,0,272

rt-ecf
Total,1944
field,avg,min,max
status,871,0,3061
os,165,0,1352
priority,222,0,1352
version,154,0,961
hardware,114,0,1192
resolution,902,0,3061
severity,353,0,2414
component,137,0,728
assignee,286,0,2414
product,32,0,111

technology-scanning
Total,0

technology-nebula.incubator
Total,1
field,avg,min,max
status,6,5,7
resolution,7,7,7
assignee,5,5,5

foundation-z_archived
Total,0

rt-gemini.dbaccess
Total,19
field,avg,min,max
status,176,0,544
resolution,188,0,544
assignee,3,0,6
version,294,292,296

science-dawnsci
Total,1

ecd-che
Total,22
field,avg,min,max
status,51,0,258
resolution,51,0,258
component,0,0,0

iot-kapua
Total,1
field,avg,min,max
status,1,1,1
resolution,1,1,1
assignee,1,1,1

iot-unide
Total,0

soa-ebpm
Total,2

tools-linuxtools
Total,0

eclipse-jdt
Total,54535
field,avg,min,max
status,1415,0,5288
os,1042,0,5070
priority,802,0,4868
version,410,0,3184
hardware,1168,0,5070
resolution,1495,0,5280
component,662,0,4427
severity,650,0,4095
assignee,1532,0,5076
product,497,0,3345

technology-handly
Total,142
field,avg,min,max
status,80,0,354
os,60,0,223
priority,83,0,260
version,65,0,201
hardware,48,0,223
resolution,77,0,354
severity,44,0,260
component,66,0,223
assignee,37,0,219

technology-recommenders.incubator
Total,225
field,avg,min,max
status,119,0,837
os,3,0,5
priority,3,0,5
version,50,0,277
hardware,3,0,5
resolution,122,0,837
component,426,0,837
severity,3,0,5
assignee,112,0,836
product,426,0,837

mylyn-mylyn
Total,8422
field,avg,min,max
status,621,0,3530
priority,462,0,3032
os,267,0,3199
version,299,0,3199
hardware,335,0,2302
resolution,613,0,3530
severity,329,0,2080
component,340,0,1664
assignee,606,0,3429
product,238,0,1664

mylyn-mylyndocs
Total,0

iot-wakaama
Total,10
field,avg,min,max
status,53,1,151
resolution,53,1,151

modeling-elk
Total,3
field,avg,min,max
status,2,0,4
resolution,2,0,4

soa-bpel
Total,376
field,avg,min,max
status,411,0,2332
priority,672,0,2332
os,42,0,61
version,735,0,2332
hardware,3,0,5
resolution,435,0,2332
severity,1024,0,2329
component,580,0,2329
product,10,0,28
assignee,547,0,2332

technology-egerrit
Total,394
field,avg,min,max
status,111,0,580
os,1,0,1
priority,0,0,0
hardware,1,1,1
version,1,0,1
resolution,113,0,580
component,1,0,1
severity,41,0,344
product,1,0,1
assignee,71,0,228

iot-iofog
Total,0

modeling-gmftooling
Total,0

technology-jnosql
Total,0

datatools-datatools
Total,0

rt-equinox
Total,13046
field,avg,min,max
