modeling-graphiti
Total,598
field, count
priority,119
os,241
hardware,268
version,195
component,27
severity,56
assignee,206
product,25
status,376

iot-californium
Total,66
field, count
os,3
severity,4
assignee,20
hardware,3
status,5

tools-tmw
Total,0

technology-m2e
Total,1604
field, count
priority,12
os,64
hardware,51
version,143
component,91
severity,89
assignee,333
product,83
status,102

foundation-simultaneousrelease
Total,0

rt-vertx
Total,394
field, count
hardware,1
os,1
severity,36
component,1
assignee,48
version,34
status,17

modeling-mdt.modisco
Total,984
field, count
priority,535
os,20
hardware,19
version,159
component,76
severity,113
assignee,728
product,18
status,46

technology-actf
Total,1013
field, count
os,4
priority,5
version,8
hardware,2
component,77
severity,23
product,2
assignee,106
status,34

modeling-acceleo
Total,898
field, count
os,4
priority,76
version,37
hardware,4
severity,51
component,18
assignee,23
product,11
status,40

mylyn-mylyndocsintent
Total,0

mylyn-mylynincubator
Total,0

foundation-community
Total,0

iot-vorto
Total,157
field, count
priority,2
os,2
version,6
hardware,1
component,36
severity,13
assignee,41
product,1
status,29

mylyn-mylyncommons
Total,0

modeling-sphinx
Total,463
field, count
priority,32
os,61
version,71
hardware,61
component,21
severity,36
assignee,261
product,1
status,64

technology-rtsc
Total,1229
field, count
priority,211
os,130
version,6
hardware,119
severity,53
component,49
assignee,657
product,1
status,559

ecd-orion
Total,9557
field, count
os,178
priority,327
version,517
hardware,94
component,1567
severity,543
assignee,6864
product,1287
status,466

tools-pdt
Total,5440
field, count
priority,840
os,182
version,615
hardware,83
component,602
severity,473
assignee,1423
product,173
status,747

webtools-wtpincubator
Total,0

technology-nebula
Total,1118
field, count
os,32
priority,77
version,44
hardware,16
component,39
severity,46
assignee,277
product,23
status,53

foundation-drupal
Total,0

technology-ease
Total,454
field, count
os,60
priority,3
hardware,57
version,60
component,59
severity,25
product,50
assignee,29
status,22

technology-tigerstripe
Total,1147
field, count
product,2
os,1
priority,23
severity,103
component,14
assignee,218
version,6
status,147

modeling-emfstore
Total,528
field, count
os,46
priority,68
hardware,8
version,15
component,18
severity,17
product,7
assignee,212
status,10

rt-riena
Total,998
field, count
os,40
priority,97
hardware,32
version,17
severity,51
component,69
assignee,374
product,6
status,70

technology-flux
Total,61
field, count
component,1
os,2
priority,2
severity,2
assignee,32
hardware,2
resolution,0

science-texlipse
Total,0

rt-yasson
Total,0

modeling-pmf
Total,31
field, count
component,9
assignee,11
resolution,0

webtools-dalijpatools
Total,0

iot-risev2g
Total,1

technology-technologytoplevel
Total,0

tools-andmore
Total,114
field, count
product,9
priority,1
component,10
assignee,41
version,11
status,19

modeling-franca
Total,0

soa-jwt
Total,408
field, count
priority,38
os,23
hardware,6
version,184
severity,15
component,38
assignee,77
product,1
status,31

tools-mat
Total,461
field, count
os,18
priority,1
version,16
hardware,18
severity,11
component,8
assignee,205
product,4
status,23

modeling-papyrus
Total,9634
field, count
os,1176
priority,271
hardware,1197
version,1471
severity,843
component,804
assignee,3622
product,40
status,1894

modeling-mdt.xsd
Total,404
field, count
product,45
os,1
priority,17
severity,46
component,46
assignee,38
version,45
status,259

rt-eclipselink
Total,7952
field, count
priority,1761
os,172
version,631
hardware,167
component,203
severity,647
assignee,3995
product,16
status,531

technology-xwt
Total,352
field, count
product,297
os,4
priority,1
component,297
severity,3
assignee,82
version,142
status,9

modeling-viatra
Total,1037
field, count
priority,18
os,11
hardware,8
version,213
component,43
severity,42
assignee,556
product,28
status,127

tools-tracecompass.incubator
Total,0

modeling-emft.henshin
Total,90
field, count
component,4
severity,3
assignee,19
status,1

modeling-eatop
Total,34
field, count
os,1
component,1
assignee,11
hardware,1
status,5

webtools-wtpwebservices
Total,0

rt-smila
Total,216
field, count
version,17
priority,23
os,14
severity,45
component,8
assignee,110
hardware,11
status,18

modeling-emft.doc2model
Total,1
field, count
resolution,0

modeling-efm
Total,23
field, count
component,1
severity,1
assignee,1
severity,0

webtools-javaeeconfig
Total,0

webtools-wtpservertools
Total,0

technology-subversive
Total,2591
field, count
os,13
priority,38
version,132
hardware,8
component,140
severity,88
assignee,279
product,118
status,112

rt-gemini
Total,5
field, count
os,1
os,0

webtools-wtpsourceediting
Total,0

technology-rcptt
Total,254
field, count
product,2
component,5
os,7
priority,8
severity,10
assignee,51
version,8
status,21

modeling-mdt
Total,114
field, count
version,7
priority,30
component,12
severity,21
product,5
assignee,42
status,48

soa-soaplatform
Total,0

rt-ebr
Total,6
field, count
assignee,2
status,1

technology-vtp
Total,259
field, count
version,2
priority,30
os,6
severity,8
component,4
assignee,74
hardware,6
status,30

rt-gyrex
Total,157
field, count
hardware,25
priority,3
os,25
severity,19
component,3
assignee,109
version,14
status,3

modeling-amp
Total,171
field, count
hardware,8
os,8
priority,18
severity,14
component,2
assignee,20
version,17
status,6

modeling-papyrusrt
Total,0

webtools-wtpcommontools
Total,0

modeling-eef
Total,330
field, count
priority,4
os,13
hardware,14
version,166
component,258
severity,22
product,258
assignee,41
status,10

modeling-capra
Total,46
field, count
os,5
component,7
severity,1
assignee,16
hardware,1
status,7

tools-titan
Total,183
field, count
product,1
priority,1
severity,3
component,2
assignee,69
version,4
status,31

technology-sapphire
Total,1189
field, count
priority,7
os,181
version,156
hardware,185
component,75
severity,115
assignee,989
product,1
status,219

tools-gef
Total,2950
field, count
os,120
priority,208
version,135
hardware,87
severity,241
component,280
product,90
assignee,1248
status,349

tools-oomph
Total,1438
field, count
priority,10
os,10
hardware,12
version,627
component,218
severity,177
product,156
assignee,1019
status,142

rt-ecf
Total,1944
field, count
os,78
priority,36
version,160
hardware,81
severity,162
component,97
assignee,650
product,40
status,109

technology-scanning
Total,0

technology-nebula.incubator
Total,1
field, count
assignee,1
status,1

foundation-z_archived
Total,0

rt-gemini.dbaccess
Total,19
field, count
assignee,3
version,1
status,1

science-dawnsci
Total,1

ecd-che
Total,22
field, count
component,1
status,2

iot-kapua
Total,1
field, count
assignee,1
assignee,0

iot-unide
Total,0

soa-ebpm
Total,2

tools-linuxtools
Total,0

eclipse-jdt
Total,54535
field, count
os,2542
priority,6192
version,1981
hardware,2080
component,12375
severity,5164
product,3610
assignee,35685
status,21574

technology-handly
Total,142
field, count
hardware,7
os,6
priority,5
component,4
severity,12
assignee,139
version,8
status,18

technology-recommenders.incubator
Total,225
field, count
priority,2
os,3
version,42
hardware,4
component,6
severity,11
product,5
assignee,42
status,5

mylyn-mylyn
Total,8422
field, count
os,169
priority,3271
version,258
hardware,67
component,711
severity,1915
assignee,4505
product,142
status,825

mylyn-mylyndocs
